"TermID","CodeSetID","EntityID"
2701,45,
3000,1,
3002,29,
3004,290,
3011,5,
3012,6,
3013,1,
3014,1,
3015,7,
3017,1,
3021,291,
3025,9,
3026,353,
3027,11,
3029,352,
3031,1,
3035,13,
3036,1,
3037,1,
3038,16,
3039,1,
3043,18,
3044,17,
3045,19,
3048,20,
3049,21,
3050,22,
3051,22,
3052,23,
3056,24,
3057,25,
3060,26,
3061,27,
3065,28,
3071,30,
3072,288,
3075,32,
3076,33,
3077,1,
3078,1,
3079,34,
3080,1,
3084,1,
3086,1,
3087,35,
3089,36,
3090,188,
3091,37,
3092,39,
3093,40,
3094,41,
3095,42,
3096,43,
3099,44,
3100,357,
3106,46,
3108,47,
3110,287,
3111,49,
3113,50,
3114,51,
3117,1,
3120,1,
3122,2,
3123,53,
3125,357,
3126,373,
3131,285,
3133,1,
3134,54,
3135,1,
3137,1,
3138,55,
3140,56,
3141,374,
3142,58,
3144,237,
3146,60,
3147,1,
3148,1,
3149,1,
3151,1,
3158,147,
3159,148,
3161,375,
3162,150,
3163,151,
3164,61,
3167,244,
3169,62,
3170,63,
3173,64,
3174,65,
3177,354,
3178,67,
3179,68,
3180,1,
3181,69,
3185,1,
3186,70,
3187,71,
3188,72,
3189,1,
3193,2,
3194,73,
3196,74,
3198,75,
3207,76,
3208,77,
3209,77,
3210,1,
3211,1,
3215,78,
3216,80,
3217,79,
3218,81,
3219,1,
3220,82,
3221,83,
3222,371,
3224,85,
3225,286,
3227,87,
3228,88,
3229,89,
3230,90,
3232,91,
3234,1,
3235,1,
3236,1,
3237,1,
3238,1,
3239,93,
3240,94,
3241,292,
3242,96,
3246,97,
3247,98,
3248,99,
3249,1,
3254,100,
3255,141,
3257,1,
3258,101,
3260,102,
3261,1,
3262,1,
3264,1,
3266,103,
3267,104,
3268,104,
3272,105,
3273,106,
3277,107,
3278,108,
3280,393,
3281,109,
3282,110,
3283,111,
3284,112,
3285,113,
3286,1,
3287,1,
3288,1,
3289,114,
3290,1,
3291,1,
3292,1,
3296,144,
3297,115,
3299,143,
3304,385,
